site,lemmings,fledglings
Traill,0,0.002
Traill,0.144730679,0.002
Traill,0.347775176,0.002
Traill,0.526932084,0.002
Traill,1.279391101,0.0037
Traill,0.323887588,0.1465
Traill,1.148009368,0.1448
Traill,1.589929742,0.1975
Traill,1.876580796,0.1465
Traill,3.548711944,0.0717
Traill,2.043793911,0.614
Traill,2.629039813,0.5732
Traill,8.218735363,0.6786
Traill,10.54777518,1.6187
Traill,11.24051522,1.1087
Zackenberg,0.118852459,0.002
Zackenberg,0.307962529,0.054416667
Zackenberg,0.357728337,0.030333333
Zackenberg,0.596604215,0.064333333
Zackenberg,0.775761124,0.028916667
Zackenberg,0.646370023,0.002
Zackenberg,0.87529274,0
Zackenberg,1.552107728,0.000583333
Zackenberg,2.139344262,0.0275
Zackenberg,2.816159251,0.033166667
Zackenberg,2.18911007,0.21025
Zackenberg,2.089578454,0.262666667
Zackenberg,1.651639344,0.183333333
Zackenberg,2.62704918,0.5715
Zackenberg,5.802107728,0.259833333
